subject,rep,total,unique,correct,incorrect,accuracy,p31,p32,p33,p31_mean_rt,p32_mean_rt,p33_mean_rt,p31_std_rt,p32_std_rt,p33_std_rt,dummy_p3_,mean_rt,std_rt,mean_acc,std_acc
o13,rep1,48,24,45,3,0.9375,11,12,11,850.0909090909091,760.25,726.9090909090909,130.10722850437983,168.34873166895395,110.02313806236808,2,,,0,0
o13,rep2,48,24,48,0,1.0,12,12,12,787.0833333333334,709.8333333333334,694.25,106.15294140859672,139.35228956160213,50.00931731369484,0,787.0833333333334,106.15294140859672,0,0
o14,rep1,48,24,46,2,0.9583333333333334,12,12,12,825.4166666666666,737.3333333333334,723.25,185.3809141560515,104.44079082369488,76.19726194078582,0,,,0,0
o14,rep2,48,24,45,3,0.9375,11,10,12,791.1818181818181,691.5,720.1666666666666,107.57770975608113,105.32199306043455,100.34108497187646,3,791.1818181818181,107.57770975608113,0,0
o15,rep1,48,24,35,1,0.7291666666666666,9,9,9,982.1111111111111,842.8888888888889,737.6666666666666,470.4456516018733,276.97944167593215,217.9047957251056,9,,,0,0
o15,rep2,48,24,33,2,0.6875,8,10,7,859.75,862.6,735.5714285714286,222.66294194204323,215.554169525899,109.81933215188351,11,859.75,222.66294194204323,0,0
o16,rep1,48,24,45,2,0.9375,11,12,11,902.7272727272727,779.1666666666666,787.8181818181819,254.85371918380585,145.87717955578768,123.03643215065867,2,,,0,0
o16,rep2,48,24,46,1,0.9583333333333334,11,12,11,937.5454545454545,763.0833333333334,896.6363636363636,228.24564120103744,117.84616963215096,215.66746288083084,2,937.5454545454545,228.24564120103744,0,0
o17,rep1,48,24,46,2,0.9583333333333334,11,11,12,947.6363636363636,733.3636363636364,832.9166666666666,417.9347491480633,103.68922097042945,133.38764992125454,2,,,0,0
o17,rep2,48,24,39,5,0.8125,10,10,11,970.1,933.3,898.4545454545455,164.77489695541206,181.29782127758733,236.35285639753272,5,970.1,164.77489695541206,0,0
o18,rep1,48,24,47,1,0.9791666666666666,12,12,12,991.5833333333334,816.3333333333334,819.0,147.42853944343423,171.3780156333485,134.30697538238152,0,,,0,0
o18,rep2,48,24,37,3,0.7708333333333334,9,11,7,861.5555555555555,736.2727272727273,686.0,130.63700768839502,71.12818134760779,98.6086541164956,9,861.5555555555555,130.63700768839502,0,0
y01,rep1,48,24,45,3,0.9375,10,11,12,683.9,598.7272727272727,606.5,108.86326796082832,46.838212837577196,50.0136345046392,3,,,0,0
